,kappa,theta,sigma,rho,v0,error
2024-08-21,10.0,0.020375807678484962,3.5580598981233256,-0.8636403032008801,0.10057152320300783,0.004564232303848195
2024-08-23,10.0,0.01,4.502255932744431,-0.8989377162805223,0.1517986140917658,0.0069917404704092825
2024-08-26,10.0,0.03594753919129036,2.0996499136848654,-0.7946669824003767,0.029846975638646543,0.00396387864220578
2024-08-28,4.089159231992287,0.09114110829802304,1.6764590472388479,-0.7939728913551278,0.008376431189623081,0.0015455414818959818
2024-08-30,10.0,0.010000000000000363,3.706850783415833,-0.9072924075708462,0.11577185956714925,0.008809015326156248
2024-09-04,10.0,0.06906876621536277,3.1467220266339533,-0.8970936490720277,0.0601934899186339,0.003291484878295975
2024-09-06,0.1000000000000003,0.9605823369299382,0.14196273523815095,-0.9899999999999999,0.009979809585954635,0.015094850572185818
2024-09-09,10.0,0.13095172060675206,4.155372523111603,-0.8976605039843042,0.05778951286070973,0.0029231161370109377
2024-09-11,10.0,0.018164695897750823,4.56311054504082,-0.9180229404258112,0.20048483809851964,0.0040861017740915955
2024-09-12,10.0,0.03659879931259992,3.792828848784239,-0.8931418562822315,0.1171004235106134,0.003910629065343877
2024-09-13,10.0,0.0931273596048794,4.048158157298039,-0.8905928853313572,0.053267345236442505,0.004298360837917143
2024-09-16,10.0,0.061341169472872596,3.2561731585715097,-0.8725411147921701,0.059587140292590865,0.0044568019801184515
2024-09-17,10.0,0.011796732049173888,1.4914005701719921,-0.7715925034776379,0.0427112378385812,0.002207000908980816
2024-09-18,10.0,0.010837991719505198,1.6062845476551926,-0.7784267263813214,0.04981775578291978,0.0027012231436729347
2024-09-19,10.0,0.05371211398749522,2.8672502517192155,-0.8086826713599877,0.03206905730440572,0.0037492946312925367
2024-09-20,10.0,0.07241745207860421,2.7888507757665453,-0.8198172541097297,0.015300069261862776,0.0073279623297623185
2024-09-23,10.0,0.023750470231972538,2.7532374970385862,-0.8408680068589371,0.05855997446410349,0.005947928884263483
2024-09-24,9.999999999999998,0.08448948725575656,3.6090039778182623,-0.8534845553467922,0.015588043966860475,0.005438746145431705
2024-09-25,10.0,0.06711845220750785,3.145619526126366,-0.8361975665518352,0.01576546294370458,0.002935089999669966
2024-09-26,5.029266282404785,0.07754294375056987,1.92535621231892,-0.791398373583248,0.011098817246125617,0.0032773429829113785
2024-09-27,5.092732347528187,0.09811446573099743,1.9931927397660796,-0.8069153862708179,0.007131315131887122,0.0025885037694072474
2024-09-30,10.0,0.07262317647268339,4.894880089010962,-0.8928829877691576,0.08959425489644414,0.003799075088623998
2024-10-01,3.1185320183298484,0.1145056419191852,1.322807817296178,-0.7648136071002637,0.0017514153979551568,8.26987924413757e-05
2024-10-02,10.0,0.08205935166539009,4.313598907428588,-0.8960759551916891,0.06757407648628484,0.002217769156018147
2024-10-03,10.0,0.07045576352302128,3.620920662999808,-0.8837501461262548,0.058784509539105224,0.0017365243725048162
2024-10-04,4.323008988547383,0.16081259675388626,3.1576527866449684,-0.8884652799292515,0.03019163168672535,0.0032095831631317965
2024-10-07,3.65344444337489,0.19141750364293414,2.1024635625204864,-0.8341844483898386,0.002944353242545922,0.0006473938081452905
2024-10-08,2.666899289524121,0.47246836930064623,4.333868419855646,-0.8846770340496459,0.03275974163152097,0.0018724391683268816
2024-10-09,5.76074938911523,0.22307536122771077,5.0,-0.8848867442149636,0.06511071284679444,0.0023511181981807137
2024-10-10,2.437148177784027,0.4266772112453484,3.342656868232307,-0.8481999573559239,0.010343693891970636,0.0019337492247058813
2024-10-11,3.113926460142164,0.440984842836041,4.6314250579906036,-0.8830776020082259,0.03577097247587087,0.0031648977429952216
2024-10-14,10.0,0.01,2.7227052302435837,-0.8642744669972791,0.11410651734976784,0.010519620184757454
2024-10-15,5.5643593258165485,0.07691737534480915,1.1905322647691516,-0.6906350022368548,0.0010040306258485418,0.0003162767684051135
2024-10-16,10.0,0.022891803610446314,2.785843306085953,-0.8581516182323813,0.10100988235393178,0.006393852780354582
2024-10-17,4.070848979562252,0.12224228845285443,1.444000021188095,-0.7666888381661227,0.0015679219626648713,0.0020991232046356097
2024-10-18,10.0,0.0602552216537948,2.367474895261767,-0.8452597501729854,0.03615917996841781,0.0077162345979691896
2024-10-21,3.050692525840076,0.29061157407287364,2.999309653327881,-0.8363569512488381,0.016634946314496853,0.0030402962234913487
2024-10-22,10.0,0.03310903184292101,2.5060063608674055,-0.8639502006225473,0.07989995116726253,0.00663918438940999
2024-10-23,6.860578560877826,0.05037039919914319,1.297580531736477,-0.7826667364993836,0.01947460024613878,0.0012251892739048218
2024-10-24,10.0,0.046727671804589734,2.2468361474931466,-0.8544975180660482,0.050184046972104254,0.003453548445346026
2024-10-25,5.0353834584474395,0.09235370567858585,1.483538574608676,-0.8261945878479909,0.015562032372193788,0.0014734004972603236
2024-10-29,10.0,0.08839306625330834,3.67536806269263,-0.8792603918681258,0.0684493109806453,0.005320792722114488
2024-10-30,10.0,0.049053264983247,2.0469812732097994,-0.8169505211258641,0.038012410561291066,0.002253340163375903
2024-10-31,4.652396262608636,0.23327900805090257,1.1772655492352841,-0.7510591172846822,0.001,0.00016993792891944326
2024-11-01,10.0,0.0847973649699643,2.5548578843747136,-0.8691814867759332,0.0411555369207709,0.0030278435314572837
